P053 二十七课-剧本的叙事视角27
离线 ASR 机器转录，未人工听校；可能有错字、漏字或断句错误，不能直接等同于老师逐字原话。
来源：https://www.bilibili.com/video/BV1eE411F73t/?p=53
CID：310082561
源文件 SHA256：f0ecf56d1f05f4b424a7b60bf033d85568f5890a493708b1a8d3adf5678a2b68

[00:00:01.318–00:00:02.348] 。
[00:00:10.342–00:00:11.916] 同学们好啊，上课了。
[00:00:12.614–00:00:13.804] 牛年第一课。
[00:00:15.430–00:00:17.420] 牛年开箱。
[00:00:18.470–00:00:21.004] 拍的有点晚了是吧？都出正月了。
[00:00:24.614–00:00:28.812] 所以弄得我也有点不好意思。我今天上课前啊琢磨了半天。
[00:00:29.574–00:00:33.292] 怎么跟同学们解释一下，为什么这么晚开课？
[00:00:34.502–00:00:36.140] 没找到什么好的理由啊。
[00:00:36.998–00:00:38.412] 就是忙。
[00:00:39.238–00:00:39.820] 耽误了。
[00:00:40.742–00:00:43.820] 本来说好的说咱们牛年呀。
[00:00:44.870–00:00:48.460] 呃，要花更多的时间和精力。
[00:00:49.030–00:00:50.284] 讲我们的这个编剧课。
[00:00:51.622–00:00:52.300] 要讲。
[00:00:53.542–00:00:54.028] 更。
[00:00:54.886–00:00:57.196] 实用的内容更进阶的内容。
[00:01:00.390–00:01:01.836] 这个承诺没有变啊。
[00:01:02.470–00:01:06.796] 没有变，咱们从今天开始就就就就实现它，好吧。
[00:01:07.910–00:01:11.244] 那么为什么说在今年想把这个课。
[00:01:13.542–00:01:15.116] 更提一个档次呢。
[00:01:16.902–00:01:17.644] 是因为啊。
[00:01:20.070–00:01:25.676] 现在是3月，咱们去年也是3月录的课是吧？
[00:01:26.726–00:01:30.572] 一年了一年了，咱们通过这一年的时间啊。
[00:01:31.430–00:01:33.836] 积累的这些课程，积累的这些。
[00:01:34.854–00:01:36.108] 我们说是个建制嘛。
[00:01:36.966–00:01:38.060] 第一幕见制嘛。
[00:01:38.566–00:01:44.012] 说建制的这个学习环境其实是很不容易的一个事情。
[00:01:47.334–00:01:51.756] 我们应该珍惜，为啥呢？因为在现在的这个社会啊。
[00:01:52.518–00:01:55.340] 大家应该明显的感受到现在的社会啊。
[00:01:55.814–00:01:57.292] 他实际上是一个。
[00:01:57.958–00:02:00.108] 信息碎片化的时代。
[00:02:00.838–00:02:02.732] 也就是说你接受到的资讯。
[00:02:03.590–00:02:04.748] 接受到的知识。
[00:02:05.222–00:02:05.772] 很多。
[00:02:06.854–00:02:07.532] 很杂。
[00:02:08.454–00:02:09.100] 很快。
[00:02:13.222–00:02:14.156] 这没有什么不好。
[00:02:15.494–00:02:17.836] 这没有什么不好，这是社会的进步。
[00:02:18.918–00:02:19.372] 碎片化。
[00:02:21.126–00:02:21.772] 但是呢。
[00:02:22.470–00:02:23.628] 他不利于学习。
[00:02:24.486–00:02:25.836] 不利于深度学习。
[00:02:27.942–00:02:29.452] 他更利于跨界和。
[00:02:30.310–00:02:36.204] 综合性的认知，它不利于专门的专业的深度的学习。
[00:02:37.606–00:02:41.004] 所以你想要深度学习呢，现在环境越来越少。
[00:02:41.670–00:02:44.364] 也就是说，对于深度学习，环境变恶劣。
[00:02:46.598–00:02:54.956] 我之前说过，学习这是逆水行舟啊，就是这个意思。因为大部分人在随波逐流，每天刷抖音啊哈一天可以刷几百条。
[00:02:55.558–00:02:56.748] 那就是随波逐流。
[00:02:57.958–00:03:01.772] 而你呢在沉下心学一门学问，你就是逆水行舟。
[00:03:02.534–00:03:03.436] 当然很难嘛。
[00:03:04.134–00:03:08.588] 所以说咱们创造的这个学习环境，聚拢了这些同学。
[00:03:10.246–00:03:11.948] 形成了一定的学习习惯。
[00:03:12.966–00:03:14.732] 非常难能可贵的一个事儿。
[00:03:15.238–00:03:16.876] 我们要珍惜好不好？
[00:03:17.510–00:03:19.052] 学习不是件容易的事情。
[00:03:20.870–00:03:22.764] 我们既然有这个机会凑在一起了。
[00:03:23.526–00:03:25.740] 我们就把它好好学学出点成果。
[00:03:26.214–00:03:26.636] 对不对？
[00:03:29.894–00:03:42.572] 我们不说说不说什么知识改变命运吧，那至少改变自我嘛，提升一下好不好？这就是咱们课程今年为什么要好好讲的一个原因。因为学习啊真的不容易。
[00:03:43.430–00:03:46.732] 另外在春节的时候啊，我也跟大家承诺过。
[00:03:47.302–00:03:51.148] 今年会帮大家创造更多的就业机会。
[00:03:52.454–00:03:53.036] 这礼拜。
[00:03:53.702–00:03:54.124] 就有。
[00:03:54.790–00:03:55.276] 两场。
[00:03:56.166–00:03:56.684] 招聘会。
[00:03:57.478–00:04:01.932] 就是影视公司跟咱们编剧课官方合作的招聘会。
[00:04:03.110–00:04:10.380] 同学们留意一下，好吧，留意一下班委会的通知。另外咱们今年呢也在计划中的。
[00:04:10.950–00:04:12.428] 咱们编剧课。
[00:04:13.254–00:04:14.636] 会成立官方的。
[00:04:15.238–00:04:15.628] 呃。
[00:04:16.166–00:04:18.060] 剧本公司或者叫编剧公司吧。
[00:04:18.982–00:04:19.756] 把咱们。
[00:04:20.518–00:04:22.284] 嗯，同学中。
[00:04:23.174–00:04:23.852] 优秀的。
[00:04:24.454–00:04:26.380] 阿标的这些创作者。
[00:04:27.078–00:04:28.076] 聚拢在一起。
[00:04:28.998–00:04:29.740] 直接为。
[00:04:30.566–00:04:38.188] 那些影视企业制作单位、投资公司提供剧本。好吧，咱们今年呢尽量把这个事儿也给他办成。
[00:04:40.870–00:04:44.588] 然后昨天还在跟班委会讨论这个事情的时候呢，提到。
[00:04:45.446–00:04:47.532] 说咱们这个你看啊咱们。
[00:04:48.038–00:04:51.916] 做招聘会其实也事儿也挺多的，忙忙叨叨的。
[00:04:52.422–00:04:55.628] 组织安排考试、面试。
[00:04:56.230–00:04:56.908] 鄙视。
[00:04:57.542–00:05:02.348] 那题全都是我出我批，然后呢，班委会的同学去去组织。
[00:05:02.918–00:05:04.172] 然后呢，就是考虑说。
[00:05:04.774–00:05:12.908] 哎，为什么我们这个事儿对企业，对咱们的同学，对双方都是免费的。
[00:05:13.638–00:05:14.668] 难以置信是吧？
[00:05:15.142–00:05:16.204] 对，双方都是免费的。
[00:05:17.638–00:05:19.308] 在这里我也跟大家解释一下。
[00:05:20.134–00:05:22.028] 为什么对双方都是免？
[00:05:24.038–00:05:25.676] 因为学习本来就不容易。
[00:05:26.534–00:05:28.012] 生活其实更不。
[00:05:28.902–00:05:36.588] 同学们，我在课上其实经常鼓励大家，我经常说一些什么样的话啊？我经常跟大家说努力。
[00:05:37.222–00:05:38.892] 就会有成绩，对吧？
[00:05:39.814–00:05:41.900] 你只要肯学就一定能学会。
[00:05:42.438–00:05:45.100] 勤奋永远不会被埋没的对吧？
[00:05:45.702–00:05:47.020] 我经常说这种类型的话。
[00:05:47.590–00:05:48.236] 鼓励大家。
[00:05:48.998–00:05:49.740] 很正能量。
[00:05:50.982–00:05:54.796] 搞得好像我不食人间烟火一样。其实不是的啊同学。
[00:05:55.494–00:05:57.068] 我也知道生活不容易。
[00:05:57.670–00:05:58.572] 我也知道。
[00:06:00.166–00:06:00.780] 其实。
[00:06:01.798–00:06:03.596] 有时候机会和机遇。
[00:06:06.694–00:06:08.236] 是会起到决定性的作用。
[00:06:10.502–00:06:11.852] 同学们，我自己。
[00:06:12.486–00:06:14.348] 本身就来自一个小县城。
[00:06:15.174–00:06:17.516] 我是一个来自小县城的农村孩子。
[00:06:19.590–00:06:20.652] 家里条件很差的。
