[592.374–593.212] 都有个特点。
[593.814–595.612] 就是他的处女作往往是最好看的。
[598.262–599.676] 是吧为什么呢？
[600.278–601.916] 就说明他的第一个作品。
[602.678–605.436] 他的灵感是发自于肉体的。
[606.230–609.244] 发自于自己的肉体的那是最真实的。
[610.422–611.452] 然后就是最好的。
[612.470–615.164] 出道及巅峰说的就是这种，对吧？
[615.734–619.740] 但是那后面的东西为什么就差点意思了呢？就说明这个导演呀。
[620.982–623.868] 或者是这个编剧啊，还或者这个作家呀。
[626.486–627.580] 他是个天才型选手。
[629.910–630.492] 他。
[631.254–633.372] 天才有余，技能不足。
[635.254–637.404] 他把自己的肉体肉体用完了。
[638.070–641.756] 等到开始共情的时候，由于技术不足达不到。
[642.646–646.620] 这个共情的技术，我们在后面的课程当中，我会不断的给大家训练。
[647.318–662.620] 但是第一个我当然是希望你写一个发自内心的对吧？你你目前来讲，在座大家在编剧上在创作上还都是处女嘛？第一次你你得卖个好，不是你得好好利用嘛，对吧？
[663.126–674.044] 这个我的已经没了，我现在已经天天的共情了，我的肉体已经枯竭了是吧？所以说这是灵感的呃两大来源。
[675.222–680.000] 好，那我们就针对这两个分开来说，一个是肉体的，一个。
