P009 第四课-第一个故事4.1
离线 ASR 机器转录，未人工听校；可能有错字、漏字或断句错误，不能直接等同于老师逐字原话。
来源：https://www.bilibili.com/video/BV1eE411F73t/?p=9
CID：167864038
源文件 SHA256：1db09122dd581f9000004a24fb0c1755e2bf74c30282b4a06020edd74abd5765

[00:00:03.110–00:00:07.084] 今天咱们上第四课，第四课叫第一个故事。
[00:00:17.638–00:00:19.948] 第一个故事是你们的第一个故事。
[00:00:20.422–00:00:28.460] 好吧，我希望咱们今天这节课上完以后呢，大家都有能力，也有冲动写下自己的第一个故事。
[00:00:29.190–00:00:30.956] 不用担心，现在没有，不要紧。
[00:00:32.038–00:00:33.100] 上完这节课就有。
[00:00:33.926–00:00:37.580] 咱这节课叫实战课程，不实战怎么行呢？
[00:00:38.054–00:00:41.484] 对吧你们得实战，我得教会你们实战。
[00:00:41.958–00:00:42.444] 好吧。
[00:00:43.238–00:00:45.580] 这个第一个故事。
[00:00:46.470–00:00:47.628] 一般来说啊。
[00:00:48.646–00:00:51.852] 呃，一个创作者人生的第一个故事。
[00:00:53.606–00:00:55.180] 都是发自内心的。
[00:00:56.198–00:00:57.900] 很自我的视角。
[00:00:59.110–00:01:00.748] 很内在的一种感受。
[00:01:01.446–00:01:02.956] 甚至来自于回忆。
[00:01:03.526–00:01:06.540] 来自于自己的青春或者童年。
[00:01:07.494–00:01:13.708] 然后呢大家都觉得啊这是很我的东西，很自我的。嗯，我的笑眯眯，我把它写出来。
[00:01:14.790–00:01:16.908] 结果呢写出来之后发现。
[00:01:18.022–00:01:20.012] 每个人的第一个故事都他们一样。
[00:01:21.350–00:01:23.340] 男人啊一般都写什么？
[00:01:25.094–00:01:25.932] 黑帮片。
[00:01:26.918–00:01:27.724] 街头片。
[00:01:29.126–00:01:29.932] 战争片。
[00:01:30.950–00:01:33.644] 反正就是舞刀弄枪，打打杀杀。
[00:01:34.886–00:01:36.044] 女孩一般写什么？
[00:01:37.894–00:01:38.732] 青春题材。
[00:01:40.070–00:01:40.876] 爱情片。
[00:01:42.694–00:01:43.340] 是那一套。
[00:01:43.910–00:01:46.508] 而且往往在里边还是个受害者。
[00:01:48.582–00:01:51.564] 也就是说什么呢？男人崇尚武力。
[00:01:52.134–00:01:53.484] 女人讲究付出。
[00:01:54.310–00:01:55.052] 大差不差。
[00:01:55.814–00:01:58.924] 所以说你不要觉得这个东西是你很自我的。
[00:01:59.750–00:02:00.332] 都一样。
[00:02:01.318–00:02:04.332] 我是不建议写这种东西啊，我不建议这么写。
[00:02:05.222–00:02:07.468] 你看姜文的导演处女座。
[00:02:08.358–00:02:09.612] 阳光灿烂的日子。
[00:02:10.406–00:02:14.956] 一帮小伙子荷尔蒙萌栋天天干仗打来打去。
[00:02:16.710–00:02:19.180] 来自于他的记忆，来自于他的青春。
[00:02:19.846–00:02:20.972] 就是小痞子打架。
[00:02:23.622–00:02:25.612] 赵薇导演处女座。
[00:02:26.118–00:02:26.796] 致青春。
[00:02:29.190–00:02:30.060] 大学生呀。
[00:02:30.566–00:02:32.044] 几个女生在校园里的。
[00:02:32.806–00:02:33.676] 爱情故事呀。
[00:02:35.174–00:02:36.364] 这种故事呢。
[00:02:37.414–00:02:38.508] 真的写不出话头。
