P049 二十三课-怎么写喜剧？（下）23.2
离线 ASR 机器转录，未人工听校；可能有错字、漏字或断句错误，不能直接等同于老师逐字原话。
来源：https://www.bilibili.com/video/BV1eE411F73t/?p=49
CID：254051910
源文件 SHA256：16a6f9c95ec2f426edb770a451755933236fe758ef37a86ffbe8424da1115e26

[00:00:11.046–00:00:12.300] 我给大家举几个例子啊。
[00:00:12.966–00:00:13.708] 比如说。
[00:00:14.950–00:00:31.756] 像美国喜剧中心出的那个很多片儿，喜剧片，他因为都是强设定，就很典型。我给大家看过的定制伴郎，那不就是吗？你那个动作谁能认可啊，花钱雇个人来演自己的好朋友，给自己当伴郎，谁能认可？
[00:00:32.390–00:00:32.812] 对吧？
[00:00:33.350–00:00:33.996] 认可不了。
[00:00:34.886–00:00:36.428] 但是呢观众看你那怂样。
[00:00:37.254–00:00:45.836] 看你呢哎呀打个电话给给同学，让别人来参加你的婚礼，同学都把你给忘了，还有的同学以为你死了。
[00:00:46.406–00:00:48.524] 对吧这个这个这个。
[00:00:49.414–00:00:52.780] 就想想，哎呀，你确实也是对吧？
[00:00:53.542–00:00:55.084] 还有那个那个那个。
[00:00:55.718–00:00:58.508] 同样是凯文哈特主演的另外一个电影叫御前教育。
[00:00:59.654–00:01:00.524] 就一个。
[00:01:01.126–00:01:02.316] 华尔街精英。
[00:01:02.886–00:01:05.548] 看起来的精英啊，但其实傻了吧唧的。
[00:01:06.534–00:01:10.252] 那个那个那个因为经济犯罪要入狱。
[00:01:11.046–00:01:11.820] 要入狱了。
[00:01:12.294–00:01:14.572] 然后呢，他因为从小就是。
[00:01:15.110–00:01:16.396] 养尊处优啊。
[00:01:17.126–00:01:18.316] 妥妥的富二代的。
[00:01:19.750–00:01:33.932] 他对监狱的认知啊，他对美国监狱的认知啊跟咱们差不多，跟咱们这些不可能接触到美国监狱的人一样。对美国监狱的认知就是。
[00:01:34.758–00:01:55.644] 各种大肌肉男对吧？黑人一帮白人变态一帮，然后那个T back嘛，对吧？还有那个墨西哥人一帮，对吧？全部剃着光头，满身纹身。然后进去之后不光要揍你，让你给他刷马桶，而且你洗澡的时候，你可别减肥皂，对吧？
[00:01:55.910–00:02:02.636] 很危险的，就是咱们对监狱的认知也是这样嘛，他对监狱的认知也是也是这样。
[00:02:03.558–00:02:04.172] 然后呢。
[00:02:05.670–00:02:08.044] 他因为经济犯罪要要入狱嘛。
[00:02:08.646–00:02:12.716] 有个期限，什么时候判判他什么时候要开始服刑，还有一个月。
[00:02:15.014–00:02:17.804] 然后他就去他经常修车的一个。
[00:02:19.142–00:02:21.932] 修车店开修车店呢是个小黑人。
[00:02:22.662–00:02:23.372] 凯威哈特。
[00:02:24.134–00:02:34.860] 哈特你知道那个风格啊，他叨逼叨叨逼叨的，然后说话说很多脏话，然后他就认为这个人肯定经过监狱，然后就花很多钱雇这个人。
[00:02:35.430–00:02:37.708] 培训自己监狱生存技巧。
