P008 第三课-八要素的实战应用3.2
离线 ASR 机器转录，未人工听校；可能有错字、漏字或断句错误，不能直接等同于老师逐字原话。
来源：https://www.bilibili.com/video/BV1eE411F73t/?p=8
CID：167859809
源文件 SHA256：8f9258099f3c79e4d70bd1840dc61163bfdaa6c81b10e2a9d71ece8f11dde093

[00:00:02.822–00:00:03.564] 实现欲望。
[00:00:06.598–00:00:11.308] 然后最后一个正价值负加值，这里正义战胜邪恶。
[00:00:14.086–00:00:14.764] 唱门是啥？
[00:00:15.974–00:00:24.236] 门其实我昨天说过，就是你如果不讲故事，单说你这个正负价值的较量，把你这个主题说一遍，别人有点想笑你。
[00:00:26.278–00:00:29.068] 就是最俗的那些词儿，你给我把它写出来。
[00:00:29.542–00:00:33.388] 他就是最好的主题，什么正义。
[00:00:35.302–00:00:36.108] 母爱。
[00:00:36.806–00:00:37.292] 对吧。
[00:00:39.590–00:00:40.716] 善良。
[00:00:43.398–00:00:44.684] 还有些什么词来着？
[00:00:45.254–00:00:46.316] 救赎。
[00:00:51.750–00:00:52.620] 真理。
[00:00:57.350–00:00:58.092] 你看啊。
[00:00:58.662–00:01:01.932] 这些词你单拿出来一个都不太露脸。
[00:01:02.438–00:01:03.692] 对于年轻的时候的。
[00:01:04.614–00:01:06.700] 人来说，我年轻的时候。
[00:01:07.302–00:01:25.996] 我也觉得觉得这些词儿就说人家问你哎，你在写一个关于什么故事，你说我想写一个关于真理的故事，你就会觉得我这个故事好像就是要不别写了吧，对吧？因为年轻人啊总有点叛逆，总想写，我得写个邪恶的故事啊，我干嘛写一个真理的故事，不是这样。
[00:01:26.630–00:01:27.788] 你的主题。
[00:01:28.486–00:01:31.276] 你的正价值必须是这些。
[00:01:33.862–00:01:35.372] 从来没有动摇过的。
[00:01:36.422–00:01:37.356] 正义的词汇。
[00:01:40.646–00:01:42.892] 最基本的这些去套，好吧。
[00:01:43.398–00:01:44.140] 那么我们。
[00:01:45.158–00:01:45.868] 你看啊。
[00:01:46.534–00:01:49.164] 我们现在这个八要素。
[00:01:55.558–00:02:04.268] 我们说这是故这是书上讲的八要素，这是我们根据书上八要素写了一个完整的故事。但是我们现在觉得不精彩。
[00:02:05.766–00:02:08.300] 那么我给大家讲了实战当中。
[00:02:09.094–00:02:11.660] 八要素的修改方式，我们来每一个。
[00:02:13.158–00:02:15.308] 都来对一下好不好？来。
[00:02:17.734–00:02:18.284] 警察。
[00:02:19.590–00:02:23.340] 我们说警察的附加值，我们前面举了一个例子，邪恶。
[00:02:23.974–00:02:25.484] 但是这个太。
[00:02:25.990–00:02:26.764] 太直白了。
[00:02:27.430–00:02:28.908] 太惯性思维了。
[00:02:29.702–00:02:30.860] 还有什么附加值？
[00:02:37.798–00:02:39.980] 我们说一个胆小如鼠的警察。
[00:02:41.446–00:02:42.572] 这也算是一个附加值。
[00:02:43.046–00:02:46.380] 那他在执行各种任务时候很不方便呀。
[00:02:46.886–00:02:49.676] 一个胆小如鼠的刑径，比如说。
[00:02:51.142–00:02:52.044] 重案组的。
[00:02:54.182–00:02:56.236] 那么他就开始有点。
[00:02:58.534–00:03:01.036] 附加值的意思想想还有什么。
[00:03:07.718–00:03:09.676] 在这里我给大家说一下啊。
[00:03:11.846–00:03:13.388] 这些东西其实都哪来的？
[00:03:14.886–00:03:15.500] 积累来了。
[00:03:15.974–00:03:26.092] 我给大家分享一个，我迄今为止，我认为警察的定语当中，我们说我们你看啊这叫定语，就是说给你的主角加一个定语嘛。
[00:03:27.974–00:03:30.892] 我迄今为止看过的最棒的一个定语。
[00:03:32.934–00:03:34.380] 警察的是什么？
[00:03:37.062–00:03:37.932] 一个。
[00:03:39.782–00:03:41.388] 迫切想要。
[00:03:45.830–00:03:46.892] 殉职的警察。
[00:03:48.326–00:03:49.324] 想要殉职。
[00:03:49.862–00:03:52.428] 殉职殉职的殉是怎么写呢？
[00:03:54.342–00:03:55.948] 好像是个双立人是吧？
[00:03:57.766–00:03:58.924] 哎，不对呀。
[00:04:00.774–00:04:02.028] 殉职的殉怎么写呢？
[00:04:03.654–00:04:06.156] 那我们就换个词吧，想要牺牲好不好？
[00:04:09.926–00:04:11.980] 一个迫切想要牺牲的警察。
[00:04:21.606–00:04:22.604] 这个定语啊。
[00:04:24.006–00:04:25.996] 他不是警察的附加值吧。
[00:04:26.694–00:04:28.236] 他他妈是人的附加值。
[00:04:29.830–00:04:45.100] 明白这个意思吧？这个定义一出，我们说你主角的定语，你要怎么你你要怎么着来着？说给你朋友听你拍他女朋友，哎，哥们，我给你讲一个天天想着因公殉职，想牺牲的警察，他马上问为什么？为什么？
[00:04:45.574–00:04:46.188] 为什么？
[00:04:46.758–00:04:53.772] 牺牲牺牲不是挺简单的嘛？上路让车撞死啊，是吧？就马上他就提起了他的兴趣。
[00:04:54.534–00:05:07.148] 对不对？一个迫切想要牺牲的警察马上提起了你朋友兴趣，这个是一个非常成功的定语。这个想死，那肯定是个附加值呀。我们说求生是。
[00:05:07.686–00:05:08.748] 是基本价值。
[00:05:10.182–00:05:13.548] 想死，那肯定是人的附加值都是。
[00:05:14.214–00:05:15.660] 他肯定是吸引人的。
[00:05:18.598–00:05:22.124] 我们说那这个第一个任务就完成的很漂亮。
[00:05:23.270–00:05:25.772] 对吧一个迫切想要牺牲的警察。
[00:05:28.774–00:05:29.740] 呃合理性呀。
[00:05:31.142–00:05:33.452] 我们说如果是我们只是想。
[00:05:35.366–00:05:38.188] 吸引别人的注意力，那没边了。
[00:05:39.526–00:05:40.236] 那没边儿了。
[00:05:40.710–00:05:41.580] 我们说哎。
[00:05:42.054–00:05:43.308] 我给你讲一个。
[00:05:44.390–00:05:45.612] 2.36米。
[00:05:47.014–00:05:47.980] 400多斤。
[00:05:48.870–00:05:50.156] 上山是人。
[00:05:50.726–00:05:53.644] 下身是狗，长着一双翅膀。
[00:05:54.694–00:05:56.044] 的警察的故事。
[00:05:57.190–00:06:05.644] 你朋友是一定会抬头的，但也不可能是要揍你对吧？你不能说为了让别人抬头，把前面这个定语搞得过于。
[00:06:06.310–00:06:07.180] 离奇。
[00:06:08.166–00:06:13.900] 那就不行了，那就失去了一个可信度的问题，失去可信度就失去了共情了。
[00:06:14.406–00:06:31.724] 好吧，就是说主角我们说主角肩负的，我们虽然给他这么分解，那么分解，但是你别忘了主角的作用了。主角是视角人物，他带着你看故事，他带着你经历整个故事，他的第一要物还是共情，让你。
[00:06:33.414–00:06:43.212] 跟他产生共情才是他的第一要物。你不能说我为了让我的主角啊让人一下就记住，我给那前面加的定语天马行空。
[00:06:43.942–00:06:46.924] 那也不行，所以是在合理范围内加的这个定义。
[00:06:47.686–00:06:52.428] 我们说一个迫切想要牺牲的警察，我们需要把它合理化。
[00:06:53.446–00:06:55.116] 啥样的死警察死瞎。
