P026 十二课-小蝌蚪找妈妈12.2
离线 ASR 机器转录，未人工听校；可能有错字、漏字或断句错误，不能直接等同于老师逐字原话。
来源：https://www.bilibili.com/video/BV1eE411F73t/?p=26
CID：174057044
源文件 SHA256：91bad7ec7532d5fd236f88532ee03800dcabb3f143ac29d77912756952b79535

[00:00:03.110–00:00:23.036] 咱接着录啊，刚才录着录着没电了，也不知道，后面一整段都白录了。嗯，咱从爱情片这里接着说刚才说了这个金羊毛类，我们说小蝌蚪找妈妈，他先天就是个金羊毛，他找妈妈呀，先天就是金羊毛类型的片子，我给他举例子了。
[00:00:24.198–00:00:25.900] 我们说还就是小蝌蚪找妈妈。
[00:00:26.598–00:00:27.660] 可以做成爱情片吧。
[00:00:28.486–00:00:29.612] 可以做成爱情片吗？
[00:00:30.950–00:00:31.532] 当然可以。
[00:00:32.294–00:00:33.388] 爱情让我说。
[00:00:33.894–00:00:46.828] 爱情片往往就是爱情元素，你懂我意思吧？爱情故事啊就是这两个主角之间它符合爱情或者兄弟情或者友情，它符合这个爱情元素，它往往就是。
[00:00:47.398–00:00:48.844] 可以让你。
[00:00:49.670–00:00:52.172] 现有的类型片更更更厉害。
[00:00:53.350–00:00:54.988] 爱单单的爱情。
[00:00:55.974–00:00:59.564] 故事已经很难成篇了。在当下这个年代。
[00:01:00.230–00:01:02.124] 那我们来看小蝌蚪找妈妈这个事儿。
[00:01:03.846–00:01:08.556] 我们说这个小蝌蚪跟他这个王八这个好兄弟呀。
[00:01:10.406–00:01:13.388] 跟他这个好兄弟啊完全就可以做成爱情。
[00:01:14.438–00:01:15.660] 或者做成兄弟情。
[00:01:16.198–00:01:20.556] 或者做成异性的这种爱情，反正是感情片可以做出来。
[00:01:21.958–00:01:22.956] 明白这个意思吗？
[00:01:24.614–00:01:25.708] 蝌蚪跟王八。
[00:01:28.710–00:01:34.988] 我们来看啊，如何加就他目前还是个金羊毛片，他是就是一对好朋友上路。
[00:01:36.198–00:01:38.188] 如何把它变成爱情片儿？
[00:01:38.982–00:01:40.492] 人家教我们方法了呀。
[00:01:41.254–00:01:42.316] 就本方法了呀。
[00:01:43.974–00:01:46.604] 完全可以做掉。首先呢残缺的主角。
[00:01:48.038–00:01:51.084] 你小蝌蚪现在不残缺呃，不够残缺。
[00:01:51.942–00:01:52.396] 对吧。
[00:01:53.670–00:01:55.244] 完全可以让他更残缺嘛。
[00:01:56.614–00:01:58.028] 残缺的主角，然后。
