P085 编剧视角拉片烧脑神作《致命ID》
离线 ASR 机器转录，未人工听校；可能有错字、漏字或断句错误，不能直接等同于老师逐字原话。
来源：https://www.bilibili.com/video/BV1eE411F73t/?p=85
CID：29820912258
源文件 SHA256：48dcb253d177c60ff680abf368c8c2ad6e6318361ab0d13282ecef9f98207d5e

[00:00:00.166–00:00:04.268] 今天这节课非常重要，为什么呢？我们第一次啊讲这个。
[00:00:05.126–00:00:07.692] 密室片啊，或者是说叫鬼屋片。
[00:00:08.454–00:00:20.428] 嗯，因为鬼怖片一般都带着一些恐怖或惊悚的元素。嗯，坦白说，作为我本人在闲暇时光的时候是很少一个人去欣赏的。
[00:00:21.958–00:00:26.700] 但是呢他确实有他的呃很大的一个市场啊。
[00:00:27.494–00:00:48.444] 特别是在B级片里面也是一股非常不容忽视的存在。所以说今天咱们讲一讲这个算是密室片里面非常经典的一种类型啊，非常经典的一个故事。致命ID啊，恐怖片也好，惊悚片也好，其实不是市场的最主流，对吧？因为它毕竟是一种。
[00:00:48.774–00:01:00.588] 虐啊虐呃虐感爽感啊，就就有点找自己找罪受嘛。但是嘞呃其实这几年应用是在往上走的，为啥呢？我们说密室题材这个。
[00:01:01.094–00:01:22.876] 剧本杀甚至是游戏哇之类这个鬼屋故事是用的是最多的。所以说这种类型我们必须学会今天来的同学啊来着了呃一个鬼屋制造一个群像。我会给大家讲点重要的口诀，好吧，我再次强调一下啊，致命ID是鬼屋这个类型片里面。
[00:01:23.334–00:01:26.284] 非常杰出的代表，他又开创了。
[00:01:26.918–00:01:35.052] 所谓人格分裂这一宗派啊，看一下知名ID的信息包。在讲这部电影的信息包的时候，我会把它每个阶段的。
[00:01:35.558–00:01:45.932] 呃，创作者意图也讲给你，所以同学们自己可以记一下笔记，我讲一遍信息包，你基本上就会写什么类型了。前提是我们都看过电影，知道剧情所有的走向啊。
[00:01:46.502–00:01:50.764] 来第一信息胞第一部分洗成转和四目式第一幕。
[00:01:51.430–00:01:56.140] 这部电影的私幕视言是比较明确的啊，第一幕第一个节拍啊第一分钟。
[00:01:56.614–00:02:19.164] 下雨的一个夜晚，公诉人心理医生在那查卷宗啊，在那播放一个人格分裂的嫌疑犯的一些录音啊，充斥着各种悬疑啊、血腥的气氛。因为是个杀人犯嘛。然后来这时候啊发现一些问题，联系这个公诉人想要紧急提审这个嫌疑人，因为嫌疑人马上就要被执行死刑了啊，有个时间锁。第二拍第4分钟。
[00:02:19.590–00:02:28.908] 同样是下雨的一个夜晚啊，给人的感觉是同一个时空发生正在发生的事情。因为都是下雨的夜嘛，汽车旅馆。
[00:02:29.958–00:02:30.732] 这个主偿景。
[00:02:31.366–00:02:35.628] 一对受伤的夫妇啊，那个老婆受伤了，对吧？他丈夫把他扶进来。
[00:02:36.646–00:02:59.484] 啊，第一组登场的人物。我们说这个旅馆就是后面那个鬼屋，这个咱们都理解啊。然后11个人物依次登场啊。这里呢首先这一家三口先登场，我们就丈叫他们丈夫妻子和小孩，我们就统一不说名字啊，全部说身份，然后开始往回闪回一下，回顾车祸的发生过程，也就是第三拍第五分钟。
[00:02:59.718–00:03:21.116] 回顾车祸发生过程的时候，一家三口是怎么出的车祸呢？是开车压到了一个高跟鞋，导致爆胎。然后镜头跟着这个高跟鞋又引出第四个人物登场。我们称之为妓女，我们就用身份说啊，然后高跟鞋呢就是他丢的，他遗失的。然后这个镜头再来到赵氏车上。
