P006 第二课-故事的要素2.2
离线 ASR 机器转录，未人工听校；可能有错字、漏字或断句错误，不能直接等同于老师逐字原话。
来源：https://www.bilibili.com/video/BV1eE411F73t/?p=6
CID：167853069
源文件 SHA256：106f194736f875983bebd75396444a2c5dc8c0758dd5d591254e2a4db35dc2fc

[00:00:04.582–00:00:06.444] 好啊，灵感先说到这儿。
[00:00:07.302–00:00:10.252] 但其实灵感有很多要说的，灵感啊。
[00:00:10.758–00:00:13.164] 我刚才教给大家的只是。
[00:00:13.670–00:00:14.476] 呃。
[00:00:15.046–00:00:17.388] 学习训练积累的方法。
[00:00:19.686–00:00:23.692] 有了这个方法以后呢，大家慢慢去在那个小本上慢慢记。
[00:00:24.166–00:00:33.772] 慢慢去观察，慢慢去体会，去发掘，然后记下来时间长了以后会有一个什么作用呢？会破除你跟灵感之间的距离感。
[00:00:34.470–00:00:42.476] 以前大家说到灵感，都会觉得哎呀灵感好遥远啊。好，这个这个词跟我们跟我们生活没有关系。
[00:00:43.142–00:00:49.292] 我就是告诉你，他没有那么神秘，所谓的灵感就是你的体会。
[00:00:50.470–00:00:51.756] 你的观察。
[00:00:52.550–00:01:02.828] 或者你在那一瞬间的一种感受都是来自于你，来自于你的你跟艺术家的唯一的区别就是艺术家把它记下来了。
[00:01:03.686–00:01:06.540] 你以前为什么没记呢？是为没有这个必要。
[00:01:07.334–00:01:10.924] 从现在开始，这就是你最重要的一个素材库。
[00:01:12.102–00:01:17.100] 这个小本我敢跟你说，是你未来创作中最重要的一个素材。
[00:01:18.534–00:01:27.436] 不管是你从别的片子里面看到的，还是从你自己从自己最内心发现的，还是在你生活中观察的，全都记下来。
[00:01:27.910–00:01:30.412] 好吗？然后有了这些。
[00:01:31.238–00:01:34.220] 这就是灵感。有了这些所谓的灵感以后。
[00:01:34.982–00:01:35.628] 我们。
[00:01:36.294–00:01:45.516] 就可以开始创造故事了。故事我们今天说的故事是可以成为剧本的故事。我们在这里说一下故事。
[00:01:48.838–00:01:53.996] 我们肢解一下这个故事，可以成为剧本的故事，一般分三个要素。
[00:01:58.534–00:01:59.180] 人物。
[00:02:00.966–00:02:01.900] 事件。
[00:02:03.910–00:02:04.684] 主题。
[00:02:09.286–00:02:15.276] 人物事件主题。当然有些书上会写会写事件人物主题。
[00:02:15.910–00:02:16.812] 这个区别不大。
[00:02:17.478–00:02:20.908] 啥区别呢？就是先有鸡还是先有蛋的区别。
[00:02:21.670–00:02:40.460] 一般来说啊啊这个你以后会会想明白这个事儿的，以后在你实操中，你会想明白这个事儿，你会有自己属于自己的见解。我认为呢呃在我实际的工作中，如果我构思电视剧，我会先考虑人。
[00:02:41.222–00:02:43.500] 如果我构思电影，我会先考虑。
[00:02:44.198–00:02:45.292] 出了个什么事儿？
[00:02:45.926–00:03:06.140] 然后人物事件主题就是构成剧本故事的三要素，听着有点像中学生作文课，事件地事件地点人物是吧？看着很简单，但其实啊人物事件主题都很重要，特别是这个主题有很多人不太理解，我觉得啊哎呀中心思想嘛？鲁迅这句话什么意思？你。
[00:03:06.310–00:03:07.660] 是想搞这一套吗？
[00:03:10.278–00:03:12.620] 主题是你这个故事的价值观。
[00:03:13.350–00:03:14.892] 我告诉你非常的重要。
[00:03:15.398–00:03:16.172] 非常的重要。
[00:03:17.830–00:03:26.668] 这不是那个那个语文课里面让你填一下这段话的意义，不是那么呃那个东西啊，是价值观。我们来分别来说一下。
[00:03:27.654–00:03:28.268] 人物。
[00:03:30.566–00:03:35.020] 故事中三要素里面的人物指的是这个故事的主角。
[00:03:39.558–00:03:40.364] 啥叫主角？
[00:03:41.574–00:03:43.084] 什么叫一个故事？主角？
[00:03:45.286–00:03:48.844] 定义上说啊，主角是这个故事的推动者。
[00:03:50.022–00:03:52.876] 只有有行动力的那个角色，是这个。
[00:03:53.382–00:03:54.220] 事件的。
[00:03:55.014–00:03:55.628] 主要是。
[00:03:57.126–00:04:02.572] 听一听很容易。但其实有些戏里面你会就你就会觉得哎人物过多。
[00:04:03.142–00:04:10.796] 这个不太好，就一个故事，有些故事里面涉及到多个人物，你有时候会乱。我告诉你主角怎么去理解？
[00:04:11.334–00:04:12.140] 就是视角人物。
[00:04:13.286–00:04:15.436] 啥叫视角人物还不好理解。
[00:04:17.478–00:04:23.660] 就是你看这个故事的时候，或者观众看这个故事的时候，观众希望谁成事儿。
[00:04:24.614–00:04:28.236] 观众希望谁成事，观众站在谁那头。
[00:04:29.062–00:04:29.964] 谁就是主角？
